fecha,abrir,maximo,minimo,cerrar,cierre ajustado,volumen
11 may 2025,10479998.0,10486973.0,10339487.0,10403688.0,10403688.0,48128827392.0
10 may 2025,10297371.0,10496177.0,10283048.0,10469633.0,10469633.0,42276713994.0
9 may 2025,10323913.0,10429749.0,10234309.0,10297085.0,10297085.0,58198593958.0
8 may 2025,9703425.0,10396954.0,9691388.0,10324146.0,10324146.0,69895404397.0
7 may 2025,9680020.0,9762580.0,9582934.0,9703232.0,9703232.0,76983822462.0
6 may 2025,9474838.0,9688918.0,9339986.0,9680248.0,9680248.0,26551275827.0
5 may 2025,9431956.0,9519319.0,9356627.0,9474805.0,9474805.0,25816260327.0
4 may 2025,9587719.0,9631892.0,9417343.0,9431598.0,9431598.0,18198688416.0
3 may 2025,9690463.0,9694388.0,9582129.0,9589180.0,9589180.0,15775154889.0
2 may 2025,9649497.0,9790590.0,9637595.0,9691007.0,9691007.0,26421924677.0
1 may 2025,9421286.0,9743796.0,9415363.0,9649234.0,9649234.0,32875889623.0
30 abr 2025,9428647.0,9524932.0,9297964.0,9420731.0,9420731.0,28344679831.0
29 abr 2025,9498186.0,9548541.0,9379663.0,9428479.0,9428479.0,25806129921.0
28 abr 2025,9375530.0,9559849.0,9286080.0,9497875.0,9497875.0,32363449569.0
27 abr 2025,9466091.0,9530120.0,9366540.0,9375484.0,9375484.0,18090367764.0
26 abr 2025,9471465.0,9525136.0,9392725.0,9464693.0,9464693.0,17612825123.0
25 abr 2025,9395425.0,9576839.0,9289859.0,9472050.0,9472050.0,40915232364.0
24 abr 2025,9369240.0,9401620.0,9169671.0,9394380.0,9394380.0,31483175315.0
23 abr 2025,9342759.0,9453573.0,9196296.0,9369911.0,9369911.0,41719568821.0
22 abr 2025,8752188.0,9381738.0,8708453.0,9344189.0,9344189.0,55899038456.0
21 abr 2025,8517154.0,8846009.0,8514384.0,8751891.0,8751891.0,41396190190.0
20 abr 2025,8506607.0,8530638.0,8397684.0,8517430.0,8517430.0,14664050812.0
19 abr 2025,8445087.0,8559770.0,8435346.0,8506341.0,8506341.0,15259300427.0
18 abr 2025,8490019.0,8509505.0,8429888.0,8445080.0,8445080.0,12728372364.0
17 abr 2025,8403067.0,8544907.0,8374975.0,8489575.0,8489575.0,21276866029.0
16 abr 2025,8367451.0,8542828.0,8310062.0,8403387.0,8403387.0,29617804112.0
15 abr 2025,8453970.0,8642935.0,8359882.0,8366899.0,8366899.0,28040322885.0
14 abr 2025,8369452.0,8578500.0,8369064.0,8454239.0,8454239.0,34090769777.0
13 abr 2025,8527947.0,8601519.0,8302701.0,8368498.0,8368498.0,28796984817.0
12 abr 2025,8340452.0,8585619.0,8276938.0,8528711.0,8528711.0,24258059104.0
11 abr 2025,7962505.0,8424748.0,7893632.0,8340484.0,8340484.0,41656778779.0
10 abr 2025,8256598.0,8270093.0,7845613.0,7962614.0,7962614.0,44718000633.0
9 abr 2025,7627356.0,8354100.0,7458967.0,8257395.0,8257395.0,84213627038.0
8 abr 2025,7921848.0,8082389.0,7619802.0,7627195.0,7627195.0,48314590749.0
7 abr 2025,7822134.0,8111906.0,7443668.0,7923534.0,7923534.0,91262424987.0
6 abr 2025,8350451.0,8370472.0,7709774.0,7821448.0,7821448.0,36294853736.0
5 abr 2025,8384470.0,8420702.0,8237773.0,8350480.0,8350480.0,14380803631.0
4 abr 2025,8310025.0,8469615.0,8167075.0,8384380.0,8384380.0,45157640207.0
3 abr 2025,8248748.0,8390930.0,8128210.0,8310283.0,8310283.0,36852112080.0
2 abr 2025,8518061.0,8846695.0,8234354.0,8248571.0,8248571.0,47584398470.0
1 abr 2025,8255192.0,8548737.0,8242936.0,8516917.0,8516917.0,28175650319.0
31 mar 2025,8233606.0,8387013.0,8129389.0,8254891.0,8254891.0,29004228247.0
30 mar 2025,8259698.0,8350500.0,8157325.0,8233452.0,8233452.0,14763760943.0
29 mar 2025,8435207.0,8456734.0,8163414.0,8259759.0,8259759.0,16969396135.0
28 mar 2025,8718523.0,8748986.0,8355764.0,8435315.0,8435315.0,34198619509.0
27 mar 2025,8689626.0,8778673.0,8583794.0,8717710.0,8717710.0,24413471941.0
26 mar 2025,8746023.0,8829216.0,8586145.0,8690088.0,8690088.0,26704046038.0
25 mar 2025,8751282.0,8854240.0,8634608.0,8747170.0,8747170.0,30005840049.0
24 mar 2025,8607093.0,8875873.0,8554120.0,8749891.0,8749891.0,34582604933.0
23 mar 2025,8383190.0,8609478.0,8379491.0,8605438.0,8605438.0,12594615537.0
22 mar 2025,8404626.0,8451388.0,8367478.0,8383248.0,8383248.0,9863214091.0
21 mar 2025,8416454.0,8478227.0,8317107.0,8404324.0,8404324.0,19030452299.0
20 mar 2025,8687295.0,8744327.0,8364720.0,8416720.0,8416720.0,29028988961.0
19 mar 2025,8271880.0,8702119.0,8256973.0,8685423.0,8685423.0,34931960257.0
18 mar 2025,8407572.0,8407572.0,8117999.0,8271850.0,8271850.0,24095774594.0
17 mar 2025,8257634.0,8472533.0,8249216.0,8407569.0,8407569.0,25092785558.0
16 mar 2025,8433332.0,8505160.0,8201791.0,8257969.0,8257969.0,21330270174.0
15 mar 2025,8396841.0,8467267.0,8363959.0,8434311.0,8434311.0,13650491277.0
14 mar 2025,8106699.0,8526329.0,8079756.0,8396910.0,8396910.0,29588112414.0
13 mar 2025,8372492.0,8430170.0,7993185.0,8106670.0,8106670.0,31412940153.0
12 mar 2025,8285738.0,8435858.0,8063525.0,8372236.0,8372236.0,40353484454.0
11 mar 2025,7852388.0,8357776.0,7662425.0,8286221.0,8286221.0,54702837196.0
10 mar 2025,8059715.0,8395593.0,7742059.0,7853200.0,7853200.0,54061099422.0
9 mar 2025,8615430.0,8647113.0,8005248.0,8060104.0,8060104.0,30899345977.0
8 mar 2025,8674266.0,8684727.0,8524748.0,8615459.0,8615459.0,18206118081.0
7 mar 2025,8996328.0,9119105.0,8471768.0,8674267.0,8674267.0,65945677657.0
6 mar 2025,9062236.0,9280494.0,8785214.0,8996173.0,8996173.0,47749810486.0
5 mar 2025,8722295.0,9099824.0,8637977.0,9062356.0,9062356.0,50498988027.0
4 mar 2025,8606407.0,8891127.0,8152924.0,8722220.0,8722220.0,68095241474.0
3 mar 2025,9424842.0,9442975.0,8508130.0,8606567.0,8606567.0,70072228536.0
2 mar 2025,8603626.0,9504344.0,8504021.0,9424835.0,9424835.0,58398341092.0
1 mar 2025,8437387.0,8652230.0,8379423.0,8603191.0,8603191.0,29190628396.0
28 feb 2025,8470563.0,8503632.0,7824891.0,8437301.0,8437301.0,83610570576.0
27 feb 2025,8407686.0,8700078.0,8314496.0,8470423.0,8470423.0,52659591954.0
26 feb 2025,8863889.0,8928625.0,8213190.0,8434702.0,8434702.0,64597492134.0
25 feb 2025,9143712.0,9251108.0,8600823.0,8873617.0,8873617.0,92139104128.0
24 feb 2025,9627796.0,9650345.0,9137174.0,9141817.0,9141817.0,44046480529.0
23 feb 2025,9657780.0,9667188.0,9527045.0,9627392.0,9627392.0,16999478976.0
22 feb 2025,9613420.0,9695016.0,9576534.0,9657776.0,9657776.0,18353824477.0
21 feb 2025,9834067.0,9949797.0,9485296.0,9612555.0,9612555.0,49608706470.0
20 feb 2025,9663268.0,9876720.0,9644267.0,9833394.0,9833394.0,31668022771.0
19 feb 2025,9553253.0,9685559.0,9501197.0,9663561.0,9663561.0,28990872862.0
18 feb 2025,9577381.0,9669538.0,9338884.0,9553955.0,9553955.0,37325720482.0
17 feb 2025,9617901.0,9703223.0,9524355.0,9577338.0,9577338.0,27336550690.0
16 feb 2025,9758049.0,9772559.0,9606098.0,9617503.0,9617503.0,16536755396.0
15 feb 2025,9750838.0,9797504.0,9724020.0,9758035.0,9758035.0,17047266288.0
14 feb 2025,9662337.0,9881947.0,9634280.0,9750897.0,9750897.0,32697987277.0
13 feb 2025,9788875.0,9811109.0,9526971.0,9662387.0,9662387.0,37147280860.0
12 feb 2025,9574570.0,9815102.0,9410120.0,9788586.0,9788586.0,49340445530.0
11 feb 2025,9743813.0,9849290.0,9487504.0,9574743.0,9574743.0,37488783272.0
10 feb 2025,9649946.0,9833322.0,9532084.0,9743755.0,9743755.0,40078962391.0
9 feb 2025,9648131.0,9732528.0,9474526.0,9650009.0,9650009.0,27732901800.0
8 feb 2025,9653326.0,9687780.0,9570249.0,9648245.0,9648245.0,22447526395.0
7 feb 2025,9658132.0,10015414.0,9565388.0,9652909.0,9652909.0,55741290456.0
6 feb 2025,9661064.0,9916861.0,9570735.0,9659330.0,9659330.0,45302471947.0
5 feb 2025,9787801.0,9911321.0,9617483.0,9661545.0,9661545.0,49125911241.0
4 feb 2025,10139872.0,10174562.0,9620811.0,9787182.0,9787182.0,73002130211.0
3 feb 2025,9768110.0,10251417.0,9124289.0,10140542.0,10140542.0,115400897748.0
2 feb 2025,10066154.0,10143066.0,9621608.0,9768898.0,9768898.0,63091816853.0
1 feb 2025,10240280.0,10275573.0,10029771.0,10065591.0,10065591.0,27757944848.0
31 ene 2025,10473756.0,10602635.0,10154388.0,10240502.0,10240502.0,45732764360.0
30 ene 2025,10370934.0,10641877.0,10332165.0,10473530.0,10473530.0,41915744521.0
29 ene 2025,10131752.0,10475080.0,10128382.0,10370321.0,10370321.0,47432049818.0
28 ene 2025,10209541.0,10373082.0,10023819.0,10133248.0,10133248.0,47180685494.0
27 ene 2025,10268030.0,10321411.0,9779594.0,10208769.0,10208769.0,89006608428.0
26 ene 2025,10471321.0,10543865.0,10250771.0,10268250.0,10268250.0,22543395879.0
25 ene 2025,10482403.0,10524379.0,10412038.0,10471465.0,10471465.0,23888996502.0
24 ene 2025,10396567.0,10709855.0,10277213.0,10481948.0,10481948.0,52388229265.0
23 ene 2025,10365767.0,10682033.0,10125780.0,10396017.0,10396017.0,104104515428.0
22 ene 2025,10613638.0,10629434.0,10336027.0,10365307.0,10365307.0,53878181052.0
21 ene 2025,10205258.0,10718092.0,10010395.0,10614627.0,10614627.0,88733878242.0
20 ene 2025,10108375.0,10911488.0,9947136.0,10201666.0,10201666.0,126279678351.0
19 ene 2025,10441129.0,10629980.0,9957053.0,10108961.0,10108961.0,76789928525.0
18 ene 2025,10412495.0,10491320.0,10222662.0,10440807.0,10440807.0,50445655726.0
17 ene 2025,10002577.0,10588423.0,9994891.0,10446204.0,10446204.0,71888972663.0
16 ene 2025,10050530.0,10078159.0,9736445.0,9975691.0,9975691.0,54103781805.0
15 ene 2025,9653405.0,10069723.0,9650164.0,10050449.0,10050449.0,57805923627.0
14 ene 2025,9451901.0,9735266.0,9432216.0,9653405.0,9653405.0,53769675818.0
13 ene 2025,9448889.0,9583700.0,8926010.0,9451652.0,9451652.0,72978998252.0
12 ene 2025,9456573.0,9536754.0,9371251.0,9448844.0,9448844.0,20885130965.0
11 ene 2025,9470084.0,9497769.0,9384005.0,9456659.0,9456659.0,18860894100.0
10 ene 2025,9249449.0,9577061.0,9225009.0,9470145.0,9470145.0,62058693684.0
9 ene 2025,9504348.0,9534972.0,9122084.0,9248404.0,9248404.0,62777261693.0
8 ene 2025,9692416.0,9725832.0,9252584.0,9504352.0,9504352.0,63875859171.0
7 ene 2025,10224885.0,10271248.0,9613288.0,9692270.0,9692270.0,58685738547.0
6 ene 2025,9831495.0,10248288.0,9792615.0,10207809.0,10207809.0,51823432705.0
5 ene 2025,9823391.0,9881330.0,9729177.0,9831496.0,9831496.0,20525254825.0
4 ene 2025,9810699.0,9873443.0,9756298.0,9823623.0,9823623.0,22342608078.0
3 ene 2025,9688173.0,9895691.0,9603462.0,9810743.0,9810743.0,35611391163.0
2 ene 2025,9441629.0,9773982.0,9420157.0,9688688.0,9688688.0,46009564411.0
1 ene 2025,9342510.0,9492987.0,9278813.0,9441976.0,9441976.0,24519888919.0
31 dic 2024,9264325.0,9609060.0,9191403.0,9342920.0,9342920.0,43625106843.0
30 dic 2024,9352720.0,9490332.0,9131713.0,9264321.0,9264321.0,56188003691.0
29 dic 2024,9517405.0,9517488.0,9288179.0,9353023.0,9353023.0,29635885267.0
28 dic 2024,9416019.0,9552590.0,9401429.0,9516393.0,9516393.0,24107436185.0
27 dic 2024,9570498.0,9729484.0,9331074.0,9416486.0,9416486.0,52419934565.0
26 dic 2024,9929770.0,9988457.0,9513788.0,9579552.0,9579552.0,47054980873.0
25 dic 2024,9867591.0,9947875.0,9759347.0,9929920.0,9929920.0,33700394629.0
24 dic 2024,9468434.0,9940406.0,9344802.0,9867609.0,9867609.0,47114953674.0
23 dic 2024,9509939.0,9641621.0,9240313.0,9468624.0,9468624.0,65239002919.0
22 dic 2024,9721832.0,9736027.0,9420219.0,9510494.0,9510494.0,43147981314.0
21 dic 2024,9775620.0,9950710.0,9642652.0,9722473.0,9722473.0,51765334294.0
20 dic 2024,9748470.0,9809891.0,9217518.0,9775593.0,9775593.0,105634083408.0
19 dic 2024,10007069.0,10274815.0,9558768.0,9749095.0,9749095.0,97221662392.0
18 dic 2024,10614730.0,10647061.0,10004154.0,10004154.0,10004154.0,93865656139.0
17 dic 2024,10603069.0,10826845.0,10529173.0,10614060.0,10614060.0,68589364868.0
16 dic 2024,10429358.0,10778058.0,10332298.0,10602972.0,10602972.0,91020417816.0
15 dic 2024,10137353.0,10504754.0,10122703.0,10429870.0,10429870.0,51145914137.0
14 dic 2024,10145144.0,10261888.0,10063405.0,10137297.0,10137297.0,40422968793.0
13 dic 2024,10004665.0,10188880.0,9923328.0,10145926.0,10145926.0,56894751583.0
12 dic 2024,10116780.0,10252491.0,9933995.0,10004300.0,10004300.0,72073983533.0
11 dic 2024,9665606.0,10191336.0,9574723.0,10117303.0,10117303.0,85391409936.0
10 dic 2024,9744123.0,9827016.0,9432126.0,9667543.0,9667543.0,104823780634.0
9 dic 2024,10123706.0,10127251.0,9435591.0,9743272.0,9743272.0,110676473908.0
8 dic 2024,9992191.0,10139999.0,9877152.0,10123602.0,10123602.0,44125751925.0
7 dic 2024,9991671.0,10056338.0,9903088.0,9992334.0,9992334.0,44177510897.0
6 dic 2024,9707423.0,10203988.0,9651488.0,9992071.0,9992071.0,94534772658.0
5 dic 2024,9874154.0,10390047.0,9199878.0,9659357.0,9659357.0,149218945580.0
4 dic 2024,9598853.0,9920733.0,9466052.0,9876853.0,9876853.0,77199817112.0
3 dic 2024,9585459.0,9629720.0,9362956.0,9600216.0,9600216.0,67067810961.0
2 dic 2024,9727601.0,9815260.0,9448287.0,9586530.0,9586530.0,72680784305.0
1 dic 2024,9646134.0,9788813.0,9577019.0,9727979.0,9727979.0,36590695296.0
30 nov 2024,9746881.0,9749934.0,9614422.0,9644905.0,9644905.0,31634227866.0
29 nov 2024,9565395.0,9869317.0,9540788.0,9746152.0,9746152.0,54968682476.0
28 nov 2024,9595495.0,9665020.0,9467735.0,9565247.0,9565247.0,52260008261.0
27 nov 2024,9197814.0,9736118.0,9177866.0,9596253.0,9596253.0,71133452438.0
26 nov 2024,9308728.0,9499175.0,9077081.0,9198532.0,9198532.0,91656519855.0
25 nov 2024,9803345.0,9893503.0,9264291.0,9310230.0,9310230.0,80909462490.0
24 nov 2024,9777809.0,9864718.0,9578808.0,9801382.0,9801382.0,51712020623.0
23 nov 2024,9900674.0,9901468.0,9723289.0,9777728.0,9777728.0,44414644677.0
22 nov 2024,9849643.0,9965550.0,9722266.0,9899766.0,9899766.0,78473580551.0
21 nov 2024,9433464.0,9901422.0,9413260.0,9850473.0,9850473.0,106024505582.0
20 nov 2024,9234189.0,9490202.0,9161950.0,9433949.0,9433949.0,71730956426.0
19 nov 2024,9053681.0,9400287.0,9042698.0,9234379.0,9234379.0,74521048295.0
18 nov 2024,8984372.0,9259679.0,8939359.0,9054264.0,9054264.0,75535775084.0
17 nov 2024,9055846.0,9143304.0,8874166.0,8984585.0,8984585.0,46350159305.0
16 nov 2024,9106437.0,9176395.0,9009423.0,9055848.0,9055848.0,44333192814.0
15 nov 2024,8728418.0,9186874.0,8712490.0,9106601.0,9106601.0,78243109518.0
14 nov 2024,9057488.0,9176522.0,8668281.0,8725043.0,8725043.0,87616705248.0
13 nov 2024,8792997.0,9343435.0,8625693.0,9058416.0,9058416.0,123559027869.0
12 nov 2024,8870556.0,8995688.0,8515511.0,8795581.0,8795581.0,133673285375.0
11 nov 2024,8047141.0,8960450.0,8028325.0,8870148.0,8870148.0,117966845037.0
10 nov 2024,7677555.0,8147442.0,7656543.0,8047419.0,8047419.0,82570594495.0
9 nov 2024,7655619.0,7693277.0,7577379.0,7677887.0,7677887.0,29009480361.0
8 nov 2024,7590284.0,7725275.0,7564874.0,7654548.0,7654548.0,55176858003.0
7 nov 2024,7563709.0,7694312.0,7448042.0,7590486.0,7590486.0,63467654989.0
6 nov 2024,6935850.0,7646016.0,6932203.0,7563908.0,7563908.0,118592653963.0
5 nov 2024,6781117.0,7052279.0,6745887.0,6935956.0,6935956.0,46046889204.0
4 nov 2024,6874213.0,6943318.0,6680365.0,6781151.0,6781151.0,41184819348.0
3 nov 2024,6929638.0,6936166.0,6748252.0,6874112.0,6874112.0,34868307655.0
2 nov 2024,6948602.0,6986735.0,6903372.0,6928927.0,6928927.0,18184612091.0
1 nov 2024,7021690.0,7155902.0,6877970.0,6948247.0,6948247.0,49989795365.0
31 oct 2024,7233505.0,7266231.0,6959050.0,7021519.0,7021519.0,40627912076.0
30 oct 2024,7271537.0,7290530.0,7141173.0,7233954.0,7233954.0,40646637831.0
29 oct 2024,6991005.0,7357721.0,6972991.0,7272049.0,7272049.0,58541874402.0
28 oct 2024,6792267.0,7021227.0,6753513.0,6990776.0,6990776.0,38799856657.0
27 oct 2024,6702348.0,6822131.0,6684723.0,6792930.0,6792930.0,16721307878.0
26 oct 2024,6662873.0,6731792.0,6636059.0,6701470.0,6701470.0,19588098156.0
25 oct 2024,6816530.0,6872216.0,6552179.0,6664241.0,6664241.0,41469984306.0
24 oct 2024,6665370.0,6879896.0,6645410.0,6816105.0,6816105.0,31414428647.0
23 oct 2024,6736238.0,6740274.0,6518804.0,6643220.0,6643220.0,32263980353.0
22 oct 2024,6736070.0,6780158.0,6658137.0,6736141.0,6736141.0,31808472566.0
21 oct 2024,6900200.0,6946273.0,6682985.0,6736785.0,6736785.0,37498611780.0
20 oct 2024,6836418.0,6935901.0,6810572.0,6900170.0,6900170.0,18975847518.0
19 oct 2024,6841898.0,6866801.0,6802464.0,6836273.0,6836273.0,14443497908.0
18 oct 2024,6741911.0,6896975.0,6717782.0,6841879.0,6841879.0,36857165014.0
17 oct 2024,6761708.0,6791221.0,6664739.0,6739984.0,6739984.0,32790898511.0
16 oct 2024,6704246.0,6837529.0,6675873.0,6761272.0,6761272.0,38195189534.0
15 oct 2024,6605037.0,6788168.0,6480920.0,6704111.0,6704111.0,48863870879.0
14 oct 2024,6284840.0,6648249.0,6244215.0,6604613.0,6604613.0,43706958056.0
13 oct 2024,6319295.0,6327265.0,6203564.0,6285138.0,6285138.0,18177529690.0
12 oct 2024,6244462.0,6344879.0,6244327.0,6319302.0,6319302.0,16744110886.0
11 oct 2024,6027546.0,6340087.0,6004613.0,6244509.0,6244509.0,30327141594.0
10 oct 2024,6058193.0,6123672.0,5889521.0,6027450.0,6027450.0,30452813570.0
9 oct 2024,6213173.0,6250884.0,6031461.0,6058210.0,6058210.0,27670982363.0
8 oct 2024,6222164.0,6317430.0,6184356.0,6213197.0,6213197.0,28134475157.0
7 oct 2024,6281911.0,6444371.0,6215255.0,6223666.0,6223666.0,34253562610.0
6 oct 2024,6208499.0,6295957.0,6183315.0,6281895.0,6281895.0,14776233667.0
5 oct 2024,6206761.0,6237102.0,6168958.0,6208995.0,6208995.0,13305410749.0
4 oct 2024,6075463.0,6246599.0,6045994.0,6206748.0,6206748.0,29585472513.0
3 oct 2024,6063248.0,6146904.0,5987880.0,6075940.0,6075940.0,36106447279.0
2 oct 2024,6083632.0,6235769.0,5999695.0,6063279.0,6063279.0,40762722398.0
1 oct 2024,6333561.0,6411098.0,6018928.0,6083701.0,6083701.0,50220923500.0
30 sept 2024,6563466.0,6563505.0,6287362.0,6332950.0,6332950.0,37112957475.0
29 sept 2024,6588890.0,6606934.0,6545002.0,6563530.0,6563530.0,14788214575.0
28 sept 2024,6579218.0,6625553.0,6545804.0,6588765.0,6588765.0,15243637984.0
27 sept 2024,6518066.0,6648070.0,6485299.0,6579066.0,6579066.0,32058813449.0
26 sept 2024,6313855.0,6579080.0,6266927.0,6518102.0,6518102.0,36873129847.0
25 sept 2024,6430259.0,6480450.0,6294538.0,6314314.0,6314314.0,25078377700.0
24 sept 2024,6332684.0,6469521.0,6273742.0,6430197.0,6430197.0,29938335243.0
23 sept 2024,6364310.0,6473356.0,6262808.0,6332980.0,6332980.0,31400285425.0
22 sept 2024,6339680.0,6399342.0,6244073.0,6364871.0,6364871.0,20183348802.0
21 sept 2024,6318434.0,6354336.0,6278311.0,6339484.0,6339484.0,14408616220.0
20 sept 2024,6294143.0,6411953.0,6236461.0,6319298.0,6319298.0,35177164222.0
